Station Code,Station,Date,cbwd
108 ,서울,2018-07-07,90 
108 ,서울,2018-07-08,90 
108 ,서울,2018-07-09,90 
108 ,서울,2018-07-10,110 
108 ,서울,2018-07-11,50 
108 ,서울,2018-07-12,290 
108 ,서울,2018-07-13,290 
108 ,서울,2018-07-14,290 
108 ,서울,2018-07-15,290 
108 ,서울,2018-07-16,290 
108 ,서울,2018-07-17,290 
108 ,서울,2018-07-18,290 
108 ,서울,2018-07-19,290 
108 ,서울,2018-07-20,290 
108 ,서울,2018-07-21,290 
108 ,서울,2018-07-22,270 
108 ,서울,2018-07-23,290 
108 ,서울,2018-07-24,290 
108 ,서울,2018-07-25,230 
108 ,서울,2018-07-26,290 
108 ,서울,2018-07-27,290 
108 ,서울,2018-07-28,270 
108 ,서울,2018-07-29,50 
108 ,서울,2018-07-30,70 
108 ,서울,2018-07-31,90 
108 ,서울,2018-08-01,270 
108 ,서울,2018-08-02,290 
108 ,서울,2018-08-03,270 
108 ,서울,2018-08-04,270 
108 ,서울,2018-08-05,270 
108 ,서울,2018-08-06,290 
108 ,서울,2018-08-07,90 
108 ,서울,2018-08-08,290 
108 ,서울,2018-08-09,290 
108 ,서울,2018-08-10,340 
108 ,서울,2018-08-11,110 
108 ,서울,2018-08-12,160 
108 ,서울,2018-08-13,50 
108 ,서울,2018-08-14,290 
108 ,서울,2018-08-15,70 
108 ,서울,2018-08-16,90 
108 ,서울,2018-08-17,110 
108 ,서울,2018-08-18,110 
108 ,서울,2018-08-19,20 
108 ,서울,2018-08-20,140 
108 ,서울,2018-08-21,290 
108 ,서울,2018-08-22,110 
108 ,서울,2018-08-23,70 
108 ,서울,2018-08-24,290 
108 ,서울,2018-08-25,200 
108 ,서울,2018-08-26,50 
108 ,서울,2018-08-27,70 
108 ,서울,2018-08-28,90 
108 ,서울,2018-08-29,200 
108 ,서울,2018-08-30,290 
108 ,서울,2018-08-31,290 
108 ,서울,2018-09-01,70 
108 ,서울,2018-09-02,90 
108 ,서울,2018-09-03,70 
108 ,서울,2018-09-04,290 
108 ,서울,2018-09-05,270 
108 ,서울,2018-09-06,200 
108 ,서울,2018-09-07,290 
108 ,서울,2018-09-08,290 
108 ,서울,2018-09-09,70 
108 ,서울,2018-09-10,90 
108 ,서울,2018-09-11,70 
108 ,서울,2018-09-12,70 
108 ,서울,2018-09-13,70 
108 ,서울,2018-09-14,70 
108 ,서울,2018-09-15,70 
108 ,서울,2018-09-16,270 
108 ,서울,2018-09-17,290 
108 ,서울,2018-09-18,290 
108 ,서울,2018-09-19,50 
108 ,서울,2018-09-20,90 
108 ,서울,2018-09-21,90 
108 ,서울,2018-09-22,270 
108 ,서울,2018-09-23,270 
108 ,서울,2018-09-24,320 
108 ,서울,2018-09-25,20 
108 ,서울,2018-09-26,90 
108 ,서울,2018-09-27,70 
108 ,서울,2018-09-28,70 
108 ,서울,2018-09-29,70 
108 ,서울,2018-09-30,270 
108 ,서울,2018-10-01,270 
108 ,서울,2018-10-02,290 
108 ,서울,2018-10-03,290 
108 ,서울,2018-10-04,70 
108 ,서울,2018-10-05,70 
108 ,서울,2018-10-06,90 
108 ,서울,2018-10-07,290 
108 ,서울,2018-10-08,20 
108 ,서울,2018-10-09,70 
108 ,서울,2018-10-10,290 
108 ,서울,2018-10-11,320 
108 ,서울,2018-10-12,290 
108 ,서울,2018-10-13,50 
108 ,서울,2018-10-14,290 
108 ,서울,2018-10-15,320 
108 ,서울,2018-10-16,290 
108 ,서울,2018-10-17,290 
108 ,서울,2018-10-18,50 
108 ,서울,2018-10-19,270 
108 ,서울,2018-10-20,270 
108 ,서울,2018-10-21,270 
108 ,서울,2018-10-22,20 
108 ,서울,2018-10-23,50 
108 ,서울,2018-10-24,290 
108 ,서울,2018-10-25,50 
108 ,서울,2018-10-26,270 
108 ,서울,2018-10-27,270 
108 ,서울,2018-10-28,70 
108 ,서울,2018-10-29,290 
108 ,서울,2018-10-30,270 
108 ,서울,2018-10-31,290 
108 ,서울,2018-11-01,290 
108 ,서울,2018-11-02,20 
108 ,서울,2018-11-03,20 
108 ,서울,2018-11-04,270 
108 ,서울,2018-11-05,270 
108 ,서울,2018-11-06,270 
108 ,서울,2018-11-07,70 
108 ,서울,2018-11-08,90 
108 ,서울,2018-11-09,270 
108 ,서울,2018-11-10,290 
108 ,서울,2018-11-11,50 
108 ,서울,2018-11-12,320 
108 ,서울,2018-11-13,290 
108 ,서울,2018-11-14,320 
108 ,서울,2018-11-15,20 
108 ,서울,2018-11-16,290 
108 ,서울,2018-11-17,290 
108 ,서울,2018-11-18,270 
108 ,서울,2018-11-19,20 
108 ,서울,2018-11-20,200 
108 ,서울,2018-11-21,340 
108 ,서울,2018-11-22,270 
108 ,서울,2018-11-23,290 
108 ,서울,2018-11-24,70 
108 ,서울,2018-11-25,20 
108 ,서울,2018-11-26,20 
108 ,서울,2018-11-27,70 
108 ,서울,2018-11-28,290 
108 ,서울,2018-11-29,290 
108 ,서울,2018-11-30,270 
108 ,서울,2018-12-01,20 
108 ,서울,2018-12-02,90 
108 ,서울,2018-12-03,90 
108 ,서울,2018-12-04,290 
108 ,서울,2018-12-05,290 
108 ,서울,2018-12-06,270 
108 ,서울,2018-12-07,290 
108 ,서울,2018-12-08,340 
108 ,서울,2018-12-09,290 
108 ,서울,2018-12-10,50 
108 ,서울,2018-12-11,20 
108 ,서울,2018-12-12,290 
108 ,서울,2018-12-13,320 
108 ,서울,2018-12-14,290 
108 ,서울,2018-12-15,20 
108 ,서울,2018-12-16,50 
108 ,서울,2018-12-17,290 
108 ,서울,2018-12-18,230 
108 ,서울,2018-12-19,290 
108 ,서울,2018-12-20,20 
108 ,서울,2018-12-21,70 
108 ,서울,2018-12-22,290 
108 ,서울,2018-12-23,290 
108 ,서울,2018-12-24,290 
108 ,서울,2018-12-25,50 
108 ,서울,2018-12-26,290 
108 ,서울,2018-12-27,290 
108 ,서울,2018-12-28,290 
108 ,서울,2018-12-29,290 
108 ,서울,2018-12-30,290 
108 ,서울,2018-12-31,290 
108 ,서울,2019-01-01,290 
108 ,서울,2019-01-02,270 
108 ,서울,2019-01-03,290 
108 ,서울,2019-01-04,20 
108 ,서울,2019-01-05,290 
108 ,서울,2019-01-06,290 
108 ,서울,2019-01-07,290 
108 ,서울,2019-01-08,290 
108 ,서울,2019-01-09,50 
108 ,서울,2019-01-10,290 
108 ,서울,2019-01-11,20 
108 ,서울,2019-01-12,290 
108 ,서울,2019-01-13,270 
108 ,서울,2019-01-14,290 
108 ,서울,2019-01-15,290 
108 ,서울,2019-01-16,270 
108 ,서울,2019-01-17,290 
108 ,서울,2019-01-18,290 
108 ,서울,2019-01-19,50 
108 ,서울,2019-01-20,290 
108 ,서울,2019-01-21,270 
108 ,서울,2019-01-22,20 
108 ,서울,2019-01-23,270 
108 ,서울,2019-01-24,270 
108 ,서울,2019-01-25,290 
108 ,서울,2019-01-26,320 
108 ,서울,2019-01-27,230 
108 ,서울,2019-01-28,290 
108 ,서울,2019-01-29,290 
108 ,서울,2019-01-30,290 
108 ,서울,2019-01-31,290 
108 ,서울,2019-02-01,270 
108 ,서울,2019-02-02,70 
108 ,서울,2019-02-03,90 
108 ,서울,2019-02-04,290 
108 ,서울,2019-02-05,50 
108 ,서울,2019-02-06,20 
108 ,서울,2019-02-07,290 
108 ,서울,2019-02-08,290 
108 ,서울,2019-02-09,320 
108 ,서울,2019-02-10,290 
108 ,서울,2019-02-11,270 
108 ,서울,2019-02-12,290 
108 ,서울,2019-02-13,290 
108 ,서울,2019-02-14,250 
108 ,서울,2019-02-15,290 
108 ,서울,2019-02-16,320 
108 ,서울,2019-02-17,270 
108 ,서울,2019-02-18,290 
108 ,서울,2019-02-19,70 
108 ,서울,2019-02-20,270 
108 ,서울,2019-02-21,270 
108 ,서울,2019-02-22,200 
108 ,서울,2019-02-23,20 
108 ,서울,2019-02-24,290 
108 ,서울,2019-02-25,290 
108 ,서울,2019-02-26,270 
108 ,서울,2019-02-27,290 
108 ,서울,2019-02-28,290 
108 ,서울,2019-03-01,290 
108 ,서울,2019-03-02,290 
108 ,서울,2019-03-03,20 
108 ,서울,2019-03-04,270 
108 ,서울,2019-03-05,250 
108 ,서울,2019-03-06,290 
108 ,서울,2019-03-07,270 
108 ,서울,2019-03-08,290 
108 ,서울,2019-03-09,290 
108 ,서울,2019-03-10,50 
108 ,서울,2019-03-11,230 
108 ,서울,2019-03-12,270 
108 ,서울,2019-03-13,270 
108 ,서울,2019-03-14,200 
108 ,서울,2019-03-15,270 
108 ,서울,2019-03-16,290 
108 ,서울,2019-03-17,290 
108 ,서울,2019-03-18,270 
108 ,서울,2019-03-19,20 
108 ,서울,2019-03-20,90 
108 ,서울,2019-03-21,270 
108 ,서울,2019-03-22,290 
108 ,서울,2019-03-23,320 
108 ,서울,2019-03-24,230 
108 ,서울,2019-03-25,230 
108 ,서울,2019-03-26,270 
108 ,서울,2019-03-27,200 
108 ,서울,2019-03-28,270 
108 ,서울,2019-03-29,320 
108 ,서울,2019-03-30,270 
108 ,서울,2019-03-31,290 
108 ,서울,2019-04-01,270 
108 ,서울,2019-04-02,290 
108 ,서울,2019-04-03,290 
108 ,서울,2019-04-04,270 
108 ,서울,2019-04-05,230 
108 ,서울,2019-04-06,50 
108 ,서울,2019-04-07,290 
108 ,서울,2019-04-08,290 
108 ,서울,2019-04-09,70 
108 ,서울,2019-04-10,90 
108 ,서울,2019-04-11,290 
108 ,서울,2019-04-12,290 
108 ,서울,2019-04-13,270 
108 ,서울,2019-04-14,270 
108 ,서울,2019-04-15,270 
108 ,서울,2019-04-16,290 
108 ,서울,2019-04-17,270 
108 ,서울,2019-04-18,270 
108 ,서울,2019-04-19,70 
108 ,서울,2019-04-20,290 
108 ,서울,2019-04-21,290 
108 ,서울,2019-04-22,270 
108 ,서울,2019-04-23,270 
108 ,서울,2019-04-24,290 
108 ,서울,2019-04-25,70 
108 ,서울,2019-04-26,20 
108 ,서울,2019-04-27,290 
108 ,서울,2019-04-28,290 
108 ,서울,2019-04-29,50 
108 ,서울,2019-04-30,270 
108 ,서울,2019-05-01,270 
108 ,서울,2019-05-02,290 
108 ,서울,2019-05-03,290 
108 ,서울,2019-05-04,290 
108 ,서울,2019-05-05,270 
108 ,서울,2019-05-06,290 
108 ,서울,2019-05-07,250 
108 ,서울,2019-05-08,200 
108 ,서울,2019-05-09,270 
108 ,서울,2019-05-10,270 
108 ,서울,2019-05-11,290 
108 ,서울,2019-05-12,270 
108 ,서울,2019-05-13,290 
108 ,서울,2019-05-14,270 
108 ,서울,2019-05-15,290 
108 ,서울,2019-05-16,270 
108 ,서울,2019-05-17,70 
108 ,서울,2019-05-18,110 
108 ,서울,2019-05-19,70 
108 ,서울,2019-05-20,270 
108 ,서울,2019-05-21,200 
108 ,서울,2019-05-22,230 
108 ,서울,2019-05-23,270 
108 ,서울,2019-05-24,290 
108 ,서울,2019-05-25,200 
108 ,서울,2019-05-26,270 
108 ,서울,2019-05-27,140 
108 ,서울,2019-05-28,270 
108 ,서울,2019-05-29,290 
108 ,서울,2019-05-30,200 
108 ,서울,2019-05-31,290 
108 ,서울,2019-06-01,270 
108 ,서울,2019-06-02,290 
108 ,서울,2019-06-03,160 
108 ,서울,2019-06-04,290 
108 ,서울,2019-06-05,270 
108 ,서울,2019-06-06,90 
108 ,서울,2019-06-07,50 
108 ,서울,2019-06-08,50 
108 ,서울,2019-06-09,290 
108 ,서울,2019-06-10,70 
108 ,서울,2019-06-11,50 
108 ,서울,2019-06-12,290 
108 ,서울,2019-06-13,290 
108 ,서울,2019-06-14,290 
108 ,서울,2019-06-15,290 
108 ,서울,2019-06-16,50 
108 ,서울,2019-06-17,290 
108 ,서울,2019-06-18,250 
108 ,서울,2019-06-19,270 
108 ,서울,2019-06-20,270 
108 ,서울,2019-06-21,290 
108 ,서울,2019-06-22,70 
108 ,서울,2019-06-23,50 
108 ,서울,2019-06-24,270 
108 ,서울,2019-06-25,290 
108 ,서울,2019-06-26,50 
108 ,서울,2019-06-27,50 
108 ,서울,2019-06-28,290 
108 ,서울,2019-06-29,50 
108 ,서울,2019-06-30,200 
108 ,서울,2019-07-01,270 
108 ,서울,2019-07-02,270 
108 ,서울,2019-07-03,290 
108 ,서울,2019-07-04,290 
108 ,서울,2019-07-05,20 
108 ,서울,2019-07-06,90 
108 ,서울,2019-07-07,90 
108 ,서울,2019-07-08,70 
108 ,서울,2019-07-09,90 
108 ,서울,2019-07-10,70 
108 ,서울,2019-07-11,50 
108 ,서울,2019-07-12,290 
108 ,서울,2019-07-13,290 
108 ,서울,2019-07-14,290 
108 ,서울,2019-07-15,50 
108 ,서울,2019-07-16,50 
108 ,서울,2019-07-17,270 
108 ,서울,2019-07-18,290 
108 ,서울,2019-07-19,90 
108 ,서울,2019-07-20,90 
108 ,서울,2019-07-21,230 
108 ,서울,2019-07-22,200 
108 ,서울,2019-07-23,230 
108 ,서울,2019-07-24,200 
108 ,서울,2019-07-25,200 
108 ,서울,2019-07-26,200 
108 ,서울,2019-07-27,140 
108 ,서울,2019-07-28,200 
108 ,서울,2019-07-29,200 
108 ,서울,2019-07-30,200 
108 ,서울,2019-07-31,200 
108 ,서울,2019-08-01,270 
108 ,서울,2019-08-02,270 
108 ,서울,2019-08-03,50 
108 ,서울,2019-08-04,50 
108 ,서울,2019-08-05,340 
108 ,서울,2019-08-06,70 
108 ,서울,2019-08-07,290 
108 ,서울,2019-08-08,290 
108 ,서울,2019-08-09,290 
108 ,서울,2019-08-10,90 
108 ,서울,2019-08-11,90 
108 ,서울,2019-08-12,70 
