Station Code,Name,Date,Temp,Prec,WS,Humi,Pres
108 ,서울,2019-1-1,-5,,2.1,49.5,1022.6
108 ,서울,2019-1-2,-4.9,,1.7,42.8,1023.4
108 ,서울,2019-1-3,-3.5,,1.4,38.8,1024.2
108 ,서울,2019-1-4,-1.1,,1.2,55.5,1019.5
108 ,서울,2019-1-5,-2.8,,2.2,40.3,1016.6
108 ,서울,2019-1-6,-2.8,,1.2,35,1017.6
108 ,서울,2019-1-7,-1.9,,1.4,46.4,1017.4
108 ,서울,2019-1-8,-3.5,,2.6,31,1018.2
108 ,서울,2019-1-9,-4.7,,1.3,28.8,1022
108 ,서울,2019-1-10,-0.6,,1.3,48.8,1015.5
108 ,서울,2019-1-11,2.4,,1,58.8,1014.2
108 ,서울,2019-1-12,2.8,,1.3,47.6,1012.1
108 ,서울,2019-1-13,1.2,,1.4,54.3,1014.8
108 ,서울,2019-1-14,1.4,,0.9,68.6,1014.8
108 ,서울,2019-1-15,-1.7,0,2.7,58.8,1013.2
108 ,서울,2019-1-16,-5.2,0,2.3,45.9,1015.9
108 ,서울,2019-1-17,-0.3,0,1.7,45.8,1013.4
108 ,서울,2019-1-18,0.6,,1.3,44,1016.7
108 ,서울,2019-1-19,3.6,,1.2,59.8,1011.7
108 ,서울,2019-1-20,-1.4,,3.2,38.5,1011.7
108 ,서울,2019-1-21,-1.2,0,1.6,57.8,1010.7
108 ,서울,2019-1-22,1.7,,1.7,62,1008.6
108 ,서울,2019-1-23,2,,2.3,48.9,1009.6
108 ,서울,2019-1-24,0.1,,1.7,34.9,1013.7
108 ,서울,2019-1-25,-1.2,,2.6,27.6,1013.4
108 ,서울,2019-1-26,-2.5,,2.4,30.9,1017.5
108 ,서울,2019-1-27,-0.1,,1.7,52.5,1015.9
108 ,서울,2019-1-28,1.2,0,3.1,40.4,1011.6
108 ,서울,2019-1-29,-0.2,,1.5,35.5,1016.9
108 ,서울,2019-1-30,1.8,,1.5,54.6,1014.9
108 ,서울,2019-1-31,-2,,2.9,29,1010.5
108 ,서울,2019-2-1,-2.1,0.3,1.7,47.6,1013
108 ,서울,2019-2-2,1.4,0,1,60,1011.2
108 ,서울,2019-2-3,3.3,16,1.7,92.9,1002.2
108 ,서울,2019-2-4,-0.6,,2.1,40.4,1014.7
108 ,서울,2019-2-5,2.8,,1,37.1,1010.6
108 ,서울,2019-2-6,5.1,,1.3,54.9,1005.6
108 ,서울,2019-2-7,-2.1,0.5,3.5,45.5,1011.9
108 ,서울,2019-2-8,-6.1,,2.3,31.5,1015.3
108 ,서울,2019-2-9,-5.4,,2.7,30,1017.4
108 ,서울,2019-2-10,-5,,1.7,31.3,1019.8
108 ,서울,2019-2-11,-3,,2.3,34.9,1020.7
108 ,서울,2019-2-12,-0.6,0,1.9,35.5,1023
108 ,서울,2019-2-13,-2.1,,2.4,26.6,1022
108 ,서울,2019-2-14,-0.5,,1.4,24.3,1019.9
108 ,서울,2019-2-15,-0.8,2.2,1.9,72.8,1012.9
108 ,서울,2019-2-16,-2.7,0.2,2.6,59,1013.5
108 ,서울,2019-2-17,-1.8,,1.9,47.4,1015.5
108 ,서울,2019-2-18,0.9,,1.3,43.5,1014.7
108 ,서울,2019-2-19,1.4,4.6,1.4,80.8,1008.7
108 ,서울,2019-2-20,1.7,0,2.1,67.8,1014.5
108 ,서울,2019-2-21,2.4,,1.5,59.4,1015.9
108 ,서울,2019-2-22,4,,1.5,56.1,1011.3
108 ,서울,2019-2-23,6.8,,1.1,41,1012.8
108 ,서울,2019-2-24,6.3,,1.8,45,1012.1
108 ,서울,2019-2-25,4.7,,2.3,55.8,1011.1
108 ,서울,2019-2-26,5.2,,1.6,32.8,1013.4
108 ,서울,2019-2-27,7.8,,1.6,31.3,1010.7
108 ,서울,2019-2-28,6.6,,2,39.5,1008.4
108 ,서울,2019-3-1,6.6,,2.1,42.3,1011.2
108 ,서울,2019-3-2,7.8,,1.1,37.6,1008.7
108 ,서울,2019-3-3,9.4,,1.5,36.4,1002.5
108 ,서울,2019-3-4,9.9,,1.9,46.1,1003.2
