"UPJONG_CLASS3(서울시민업종코드)","YM(기준년월)","TIME(시간대구간)","BLOCK_CD(고객주소블록코드)","AMT_CORR(카드이용금액계)","MICRO_PYM(소액결제건수)"
"SS083","202005","05","10000","30",9999
"SS021","202005","03","10000","35",9999
"SS057","202005","02","10000","5",9999
"SS062","202005","04","10000","5",9999
"SS002","202005","03","10000","5",9999
"SS060","202005","04","10000","10",9999
"SS008","202005","02","10000","46",9999
"SS002","202005","06","10000","5",9999
"SS091","202005","04","10000","5",9999
"SS009","202005","01","10000","5",9999
"SS021","202005","04","10000","46",9999
"SS048","202005","02","10000","111",9999
"SS001","202005","06","10000","40",9999
"SS031","202005","04","10000","20",9999
"SS008","202005","03","10000","177",9999
"SS016","202005","05","10000","283",9999
"SS003","202005","04","10000","40",9999
"SS007","202005","05","10000","51",9999
"SS001","202005","04","10000","142",9999
"SS040","202005","05","10000","61",9999
"SS018","202005","05","10000","10",9999
"SS066","202005","05","10000","30",9999
"SS012","202005","03","10000","76",9999
"SS005","202005","02","10000","30",9999
"SS022","202005","05","10000","20",9999
"SS018","202005","03","10000","15",9999
"SS032","202005","05","10000","15",9999
"SS054","202005","05","10000","10",9999
"SS030","202005","02","10000","5",9999
"SS092","202005","04","10000","5",9999
"SS046","202005","03","10000","15",9999
"SS083","202005","03","10000","5",9999
"SS063","202005","02","10000","5",9999
